# Wavelength (nm)	Counts
# Exptime(ms): 20
740.6842	2213.00
741.1101	2210.00
741.5360	2200.00
741.9617	2205.00
742.3873	2229.00
742.8129	2238.00
743.2383	2223.00
743.6636	2213.00
744.0888	2221.00
744.5138	2222.00
744.9388	2218.00
745.3637	2214.00
745.7884	2209.00
746.2131	2209.00
746.6376	2201.00
747.0620	2195.00
747.4863	2213.00
747.9106	2220.00
748.3347	2214.00
748.7586	2206.00
749.1825	2199.00
749.6063	2193.00
750.0300	2191.00
750.4535	2199.00
750.8770	2210.00
751.3003	2208.00
751.7235	2222.00
752.1466	2222.00
752.5697	2231.00
752.9926	2228.00
753.4154	2232.00
753.8380	2230.00
754.2606	2228.00
754.6831	2223.00
755.1054	2213.00
755.5277	2203.00
755.9498	2216.00
756.3718	2223.00
756.7938	2223.00
757.2156	2216.00
757.6373	2215.00
758.0589	2219.00
758.4803	2229.00
758.9017	2230.00
759.3230	2213.00
759.7441	2218.00
760.1652	2221.00
760.5861	2219.00
761.0069	2229.00
761.4277	2215.00
761.8483	2206.00
762.2688	2220.00
762.6892	2231.00
763.1095	2234.00
763.5296	2241.00
763.9497	2247.00
764.3697	2229.00
764.7895	2228.00
765.2092	2223.00
765.6289	2210.00
766.0484	2215.00
766.4678	2216.00
766.8871	2215.00
767.3063	2223.00
767.7254	2214.00
768.1444	2210.00
768.5632	2211.00
768.9820	2222.00
769.4006	2221.00
769.8192	2208.00
770.2376	2199.00
770.6559	2210.00
771.0741	2206.00
771.4922	2204.00
771.9102	2212.00
772.3281	2211.00
772.7459	2206.00
773.1635	2220.00
773.5811	2235.00
773.9985	2232.00
774.4159	2232.00
774.8331	2220.00
775.2502	2216.00
775.6673	2211.00
776.0842	2214.00
776.5009	2215.00
776.9176	2204.00
777.3342	2194.00
777.7507	2193.00
778.1670	2195.00
778.5833	2208.00
778.9994	2210.00
779.4155	2214.00
779.8314	2212.00
780.2472	2212.00
780.6629	2214.00
781.0785	2209.00
781.4940	2196.00
781.9093	2214.00
782.3246	2215.00
782.7398	2213.00
783.1548	2212.00
783.5698	2227.00
783.9846	2225.00
784.3993	2217.00
784.8139	2209.00
785.2284	2219.00
785.6428	2219.00
786.0571	2215.00
786.4713	2230.00
786.8854	2236.00
787.2993	2234.00
787.7132	2229.00
788.1269	2216.00
788.5405	2214.00
788.9541	2212.00
789.3675	2221.00
789.7808	2228.00
790.1940	2222.00
790.6071	2206.00
791.0200	2217.00
791.4329	2211.00
791.8457	2199.00
792.2583	2195.00
792.6709	2200.00
793.0833	2202.00
793.4956	2207.00
793.9078	2205.00
794.3199	2209.00
794.7319	2216.00
795.1438	2219.00
795.5556	2212.00
795.9673	2215.00
796.3788	2214.00
796.7903	2203.00
797.2016	2212.00
797.6128	2214.00
798.0240	2217.00
798.4350	2215.00
798.8459	2206.00
799.2567	2217.00
799.6674	2209.00
800.0780	2204.00
800.4884	2199.00
800.8988	2210.00
801.3090	2205.00
801.7192	2217.00
802.1292	2219.00
802.5391	2230.00
802.9489	2228.00
803.3587	2233.00
803.7682	2231.00
804.1777	2226.00
804.5871	2221.00
804.9964	2222.00
